PIVA_DISTRIBUTORE,COD_PDR,CAUSALE,NOME_FILE_INCOERENTE_EXC,NOME_FILE_LETTURA_CORRISPONDENTE,NOME_FILE_LETTURA_PRECEDENTE,STATO
03479071205,07710000014495,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202006_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001476755,,,03479071205_02221101203_202310_TML_20231107173421_1_M.xml,03479071205_02221101203_202309_TAL_20230921180028_1_M.xml,ONLY_REPORT_1
03479071205,03081000953820,,,03479071205_02221101203_202304_TAL_20230426100023_1_M.xml,03479071205_02221101203_202303_TML_20230320084043_1_M.xml,ONLY_REPORT_1
03479071205,03081000953728,,,03479071205_02221101203_202304_TAL_20230427100026_1_M.xml,03479071205_02221101203_202303_TML_20230407181057_1_M.xml,ONLY_REPORT_1
03479071205,03081000427905,,,03479071205_02221101203_202301_TAL_20230112100013_1_M.xml,03479071205_02221101203_202301_TML_20230104083329_1_M.xml,ONLY_REPORT_1
03479071205,07710000013936,,,03479071205_02221101203_202309_TML_20231003100014_1_M.xml,03479071205_02221101203_202309_TAL_20230926180028_1_M.xml,ONLY_REPORT_1
03479071205,07710000013683,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202003_20240111092651_1.csv,,,ONLY_EXC
03479071205,07710000014467,,,03479071205_02221101203_202010_TML.0050_20201109135501_001.xml,03479071205_01178580997_202001_TML.0050_20200117080227_001.xml,ONLY_REPORT_1
03479071205,03081000427692,,,03479071205_02221101203_202301_TAL_20230128100014_1_M.xml,03479071205_08526440154_202302_SWG1_20230207093318_1_M.xml,ONLY_REPORT_1
03479071205,03081000427860,,,03479071205_02221101203_202302_TML_20230208160851_1_M.xml,03479071205_02221101203_202301_TAL_20230127100029_1_M.xml,ONLY_REPORT_1
03479071205,07710000014310,,,03479071205_11315091006_202109_TML_20210917080916_1_M.xml,03479071205_11315091006_202106_TML_20210625082803_1_M.xml,ONLY_REPORT_1
03479071205,07710000014025,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202006_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000952078,,,03479071205_02221101203_202303_TML_20230308143950_1_M.xml,03479071205_02221101203_202302_TAL_20230222100014_1_M.xml,ONLY_REPORT_1
03479071205,03081000953771,,,03479071205_02221101203_202304_TAL_20230428100023_1_M.xml,03479071205_02221101203_202303_TML_20230405102208_1_M.xml,ONLY_REPORT_1
03479071205,07710000014271,,,03479071205_01178580997_202210_TML_20221010114325_1_M.xml,03479071205_01178580997_202203_TML_20220408094711_1_M.xml,ONLY_REPORT_1
03479071205,03081000953783,,,03479071205_02221101203_202306_TAL_20230623100033_1_M.xml,03479071205_02221101203_202306_TML_20230710113641_1_M.xml,ONLY_REPORT_1
03479071205,07710000014128,,,03479071205_02221101203_202308_TAL_20230819100032_1_M.xml,03479071205_02221101203_202306_TML_20230710113641_1_M.xml,ONLY_REPORT_1
03479071205,03081000952550,,,03479071205_02221101203_202306_TML_20230607171723_1_M.xml,03479071205_02221101203_202305_TAL_20230526100032_1_M.xml,ONLY_REPORT_1
